,specific_prod(kWh/kWp),azimuth,tilt,lat,uvIndex,sunHour,cloudcover,maxtempC,mintempC,precipitation
263,3.587297411764706,180.0,15.0,19.354622,5.0,11.6,18.0,23.0,13.0,6.4
264,2.588219980392157,180.0,15.0,19.354622,5.0,11.6,35.0,21.0,14.0,7.2
265,2.8527447156862746,180.0,15.0,19.354622,5.0,11.6,37.0,21.0,14.0,4.4
266,2.7497185196078435,180.0,15.0,19.354622,5.0,11.6,32.0,21.0,14.0,4.8
267,3.2851819117647056,180.0,15.0,19.354622,5.0,11.6,43.0,22.0,13.0,1.5
268,3.048928460784314,180.0,15.0,19.354622,5.0,11.6,18.0,24.0,13.0,6.4
269,4.3674555784313736,180.0,15.0,19.354622,5.0,11.6,9.0,24.0,13.0,0.0
270,4.101867343137255,180.0,15.0,19.354622,5.0,11.6,12.0,24.0,14.0,1.7
271,4.478616725490196,180.0,15.0,19.354622,5.0,11.6,8.0,25.0,14.0,5.4
272,4.668865656862745,180.0,15.0,19.354622,5.0,11.6,8.0,25.0,13.0,1.1
273,4.004557294117648,180.0,15.0,19.354622,5.0,11.6,12.0,23.0,14.0,3.7
274,3.992889480392157,180.0,15.0,19.354622,5.0,11.6,14.0,25.0,14.0,4.1
275,3.9863959117647054,180.0,15.0,19.354622,5.0,11.6,20.0,25.0,13.0,8.8
276,3.6901531862745096,180.0,15.0,19.354622,5.0,11.6,29.0,23.0,14.0,11.0
277,3.6849295294117645,180.0,15.0,19.354622,5.0,11.6,13.0,25.0,14.0,3.7
278,4.444492568627451,180.0,15.0,19.354622,5.0,11.6,13.0,25.0,14.0,1.8
279,4.468097431372549,180.0,15.0,19.354622,5.0,11.6,8.0,25.0,14.0,3.5
280,4.2000765882352935,180.0,15.0,19.354622,5.0,11.6,10.0,25.0,14.0,0.7
281,3.106167666666667,180.0,15.0,19.354622,5.0,11.6,23.0,22.0,13.0,0.2
282,0.8403763627450982,180.0,15.0,19.354622,4.0,9.0,76.0,16.0,14.0,18.6
283,3.9220687843137263,180.0,15.0,19.354622,5.0,11.6,18.0,22.0,12.0,4.2
284,3.578129980392157,180.0,15.0,19.354622,5.0,11.6,12.0,22.0,12.0,5.6
